GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
1366,1366,24d10m55.8s,15d46m5.2s,53,52,53,90,2,215,4.1,A
1371,1371,24d10m56.7s,15d46m10.4s,41,40,41,0,4,-28,1.45,A
1388,1388,24d10m58.4s,15d46m53.7s,41,41,41,0,4,66,1.88,A
1391,1391,24d10m58.6s,15d46m59.7s,43,43,43,0,4,-6,2.33,A
1397,1397,24d10m59.4s,15d46m58.6s,66,56,63,0,2,202,4.07,A
1405,1405,24d11m0.0s,15d46m10.3s,124,107,118,0,4,-18,1.58,A
1411,1411,24d11m0.8s,15d48m0.9s,50,50,50,0,4,77,2.82,A
1414,1414,24d11m1.9s,15d48m0.9s,127,115,123,60,4,-18,1.66,A
1416,1416,24d11m2.0s,15d46m59.7s,51,51,51,0,2,-276,4.37,A
1422,1422,24d11m2.7s,15d47m9.4s,48,30,42,90,4,3,1.69,A
1432,1432,24d11m3.9s,15d46m58.2s,48,48,48,0,4,87,2.85,A
1433,1433,24d11m3.9s,15d46m13.9s,95,74,88,0,2,38,3.24,A
1441,1441,24d11m4.7s,15d47m54.5s,53,52,52,0,4,72,1.94,A
1442,1442,24d11m4.8s,15d47m17.1s,46,46,46,0,2,62,3.36,A
1448,1448,24d11m5.5s,15d46m30.8s,80,80,80,0,4,170,3.34,A
1450,1450,24d11m5.8s,15d47m17.7s,307,240,285,-50,2,-230,4.6,A
1458,1458,24d11m6.7s,15d47m16.1s,92,92,92,0,4,110,2.96,A
1461,1461,24d11m7.0s,15d46m39.7s,44,44,44,0,4,34,2.39,A
1469,1469,24d11m7.4s,15d46m48.7s,54,54,54,0,4,30,1.91,A
1470,1470,24d11m7.4s,15d46m59.6s,55,52,54,90,4,96,2.06,A
1491,1491,24d11m9.0s,15d46m32.3s,44,37,41,90,4,51,1.98,A
1494,1494,24d11m9.1s,15d46m32.9s,55,43,51,0,4,44,1.99,A
1502,1502,24d11m9.4s,15d46m56.4s,53,53,53,0,4,103,2.12,A
1504,1504,24d11m9.5s,15d47m19.1s,42,42,42,0,4,43,2.37,A
1505,1505,24d11m9.6s,15d46m34.5s,69,56,64,50,4,51,2.01,A
1506,1506,24d11m9.6s,15d47m1.0s,582,493,552,70,4,89,2.78,A
1507,1507,24d11m9.6s,15d46m20.7s,153,97,134,-10,4,75,2.04,A
1510,1510,24d11m10.1s,15d47m6.1s,51,51,51,0,4,42,2.3,A
1516,1516,24d11m10.5s,15d47m2.7s,49,32,43,50,4,116,2.18,A
1518,1518,24d11m10.6s,15d47m1.6s,111,65,96,40,4,44,2.12,A
1519,1519,24d11m10.7s,15d46m49.8s,53,53,53,0,4,51,2.35,A
1520,1520,24d11m10.8s,15d46m37.2s,131,110,124,-60,4,45,2.25,A
1523,1523,24d11m11.0s,15d46m32.9s,58,58,58,0,4,148,3.16,A
1532,1532,24d11m11.5s,15d46m50.1s,50,50,50,0,2,-200,4.61,A
1545,1545,24d11m12.7s,15d47m34.4s,58,48,55,0,4,107,2.19,A
1547,1547,24d11m12.7s,15d46m59.3s,45,45,45,0,4,84,2.16,A
1550,1550,24d11m13.3s,15d46m45.8s,81,65,76,60,4,67,2.27,A
1554,1554,24d11m13.6s,15d47m13.2s,105,105,105,0,4,155,3.16,A
1555,1555,24d11m13.6s,15d46m13.4s,119,76,104,80,4,101,2.21,A
1560,1560,24d11m14.3s,15d47m5.4s,48,48,48,0,4,100,2.74,A
1562,1562,24d11m14.4s,15d46m31.7s,79,79,79,0,4,90,2.23,A
1566,1566,24d11m15.1s,15d47m5.5s,53,53,53,0,2,14,3.18,A
1573,1573,24d11m16.2s,15d46m48.1s,55,55,55,0,2,-159,2.5,A
1577,1577,24d11m16.5s,15d46m52.9s,46,46,46,0,4,184,3.3,A
1579,1579,24d11m17.0s,15d46m25.4s,148,101,132,-30,4,107,2.36,A
1583,1583,24d11m17.0s,15d46m24.5s,42,42,42,0,2,-103,5.22,A
1584,1584,24d11m17.1s,15d45m23.5s,49,49,49,0,4,121,2.81,A
1590,1590,24d11m18.6s,15d46m27.2s,87,58,78,30,2,-195,4.35,A
